Year,State,Cases,Disease,Population,Population Density
2000,Alabama,240517,Diabetics,4447100.0,87.8
2001,Alabama,320268,Diabetics,4447100.0,87.8
2002,Alabama,284630,Diabetics,4447100.0,87.8
2003,Alabama,293860,Diabetics,4447100.0,87.8
2004,Alabama,276551,Diabetics,4447100.0,87.8
2005,Alabama,331659,Diabetics,4447100.0,87.8
2006,Alabama,343958,Diabetics,4447100.0,87.8
2007,Alabama,358917,Diabetics,4447100.0,87.8
2008,Alabama,395058,Diabetics,4447100.0,87.8
2009,Alabama,431459,Diabetics,4447100.0,87.8
2010,Alabama,465778,Diabetics,4779736.0,94.4
2011,Alabama,425909,Diabetics,4779736.0,94.4
2012,Alabama,447357,Diabetics,4779736.0,94.4
2013,Alabama,514307,Diabetics,4779736.0,94.4
2014,Alabama,483458,Diabetics,4779736.0,94.4
2015,Alabama,506987,Diabetics,4779736.0,94.4
2016,Alabama,552753,Diabetics,4779736.0,94.4
2017,Alabama,535580,Diabetics,4779736.0,94.4
2018,Alabama,550149,Diabetics,4779736.0,94.4
2019,Alabama,532380,Diabetics,4779736.0,94.4
2020,Alabama,568189,Diabetics,5024279.0,99.2
2021,Alabama,593485,Diabetics,5024279.0,99.2
2022,Alabama,614915,Diabetics,5024279.0,99.2
2023,Alabama,631388,Diabetics,5024279.0,99.2
2000,Alaska,16460,Diabetics,626932.0,1.1
2001,Alaska,17748,Diabetics,626932.0,1.1
2002,Alaska,15402,Diabetics,626932.0,1.1
2003,Alaska,22964,Diabetics,626932.0,1.1
2004,Alaska,19060,Diabetics,626932.0,1.1
2005,Alaska,20431,Diabetics,626932.0,1.1
2006,Alaska,27502,Diabetics,626932.0,1.1
2007,Alaska,29448,Diabetics,626932.0,1.1
2008,Alaska,32605,Diabetics,626932.0,1.1
2009,Alaska,29607,Diabetics,626932.0,1.1
2010,Alaska,26916,Diabetics,710231.0,1.2
2011,Alaska,41081,Diabetics,710231.0,1.2
2012,Alaska,37410,Diabetics,710231.0,1.2
2013,Alaska,39001,Diabetics,710231.0,1.2
2014,Alaska,41186,Diabetics,710231.0,1.2
2015,Alaska,42248,Diabetics,710231.0,1.2
2016,Alaska,41434,Diabetics,710231.0,1.2
